,index,"Meal, Inexpensive Restaurant ","Meal for 2 People, Mid-range Restaurant, Three-course ",McMeal at McDonalds (or Equivalent Combo Meal) ,Domestic Beer (0.5 liter draught) ,Imported Beer (0.33 liter bottle) ,Cappuccino (regular) ,Coke/Pepsi (0.33 liter bottle) ,Water (0.33 liter bottle)  ,"Milk (regular), (1 liter) ",Loaf of Fresh White Bread (500g) ,"Rice (white), (1kg) ",Eggs (regular) (12) ,Local Cheese (1kg) ,Chicken Fillets (1kg) ,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,Apples (1kg) ,Banana (1kg) ,Oranges (1kg) ,Tomato (1kg) ,Potato (1kg) ,Onion (1kg) ,Lettuce (1 head) ,Water (1.5 liter bottle) ,Bottle of Wine (Mid-Range) ,Domestic Beer (0.5 liter bottle) ,Cigarettes 20 Pack (Marlboro) ,One-way Ticket (Local Transport) ,Monthly Pass (Regular Price) ,Taxi Start (Normal Tariff) ,Taxi 1km (Normal Tariff) ,Taxi 1hour Waiting (Normal Tariff) ,Gasoline (1 liter) ,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ","Fitness Club, Monthly Fee for 1 Adult ",Tennis Court Rent (1 Hour on Weekend) ,"Cinema, International Release, 1 Seat ","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child ",1 Pair of Jeans (Levis 501 Or Similar) ,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",1 Pair of Nike Running Shoes (Mid-Range) ,1 Pair of Men Leather Business Shoes ,Apartment (1 bedroom) in City Centre ,Apartment (1 bedroom) Outside of Centre ,Apartment (3 bedrooms) in City Centre ,Apartment (3 bedrooms) Outside of Centre ,Price per Square Meter to Buy Apartment in City Centre ,Price per Square Meter to Buy Apartment Outside of Centre ,Average Monthly Net Salary (After Tax) ,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",Country
0,0,15.00,70.00,9.00,5.70,2.92,3.62,2.01,1.60,1.05,1.64,1.15,3.06,8.81,8.97,10.74,2.37,1.67,2.19,2.82,1.32,1.08,1.07,1.03,12.00,3.22,14.72,2.75,121.74,4.00,1.50,25.00,1.83,"29,217.50","28,424.60",176.46,0.38,52.16,44.00,15.15,12.00,"1,200.00","8,762.50",80.73,32.33,84.40,94.00,"1,817.16","1,473.27","2,978.57","2,342.86","7,677.30","4,472.13","3,089.63",3.16,Dublin
1,0,17.00,80.00,9.00,5.74,1.76,3.53,2.65,2.49,1.09,1.61,1.75,2.81,10.93,7.97,24.78,2.36,1.71,1.59,2.83,1.23,0.90,0.83,1.00,5.99,1.24,8.20,3.23,100.00,5.00,2.40,45.00,2.14,"26,890.00","28,924.29",204.07,0.12,45.40,46.57,26.62,12.00,"2,041.73","15,717.50",83.65,41.55,89.06,141.85,"1,594.95","1,289.47","2,732.41","2,019.38","9,149.90","5,915.79","3,463.18",1.92,Amsterdam
2,0,12.95,60.00,8.00,3.00,1.43,2.05,2.16,1.60,0.82,1.04,1.10,2.15,10.49,6.67,12.25,1.97,1.73,1.65,1.85,1.16,1.28,0.97,0.70,5.00,0.96,5.00,1.50,55.00,3.25,1.10,22.00,1.57,"25,000.00","25,025.00",158.24,0.18,35.80,41.65,11.34,9.00,501.82,"9,800.00",74.62,30.00,73.04,94.23,"1,029.33",785.78,"1,786.00","1,261.15","4,852.96","3,468.08","1,836.54",1.99,Madrid
3,0,15.00,60.00,9.25,6.50,2.59,3.78,3.17,2.09,1.15,2.07,1.99,3.91,14.50,12.23,19.50,2.54,1.90,2.53,3.40,2.05,1.92,1.36,0.81,8.00,1.88,10.50,1.90,75.00,5.00,1.65,45.00,2.00,"20,000.00","24,607.14",181.16,0.16,30.67,36.73,15.23,12.00,788.10,"13,714.29",99.76,39.88,91.62,129.35,"1,268.96",923.33,"2,763.78","1,894.78","12,223.77","9,006.25","2,572.27",1.43,Paris
4,0,10.00,50.00,8.50,4.00,1.54,3.06,2.19,1.92,1.00,1.36,2.12,2.65,11.43,6.98,11.52,2.39,1.67,2.30,2.86,1.54,1.08,1.25,0.66,5.70,0.90,7.20,3.00,84.50,4.00,2.15,33.00,2.15,"26,000.00","27,022.38",286.87,0.10,37.58,27.36,17.78,11.00,175.31,"8,950.00",79.74,36.91,83.82,105.06,"1,137.28",787.66,"2,110.34","1,469.90","7,841.18","5,125.00","3,051.07",1.83,Berlin
5,0,17.50,75.00,8.00,6.00,1.81,1.62,2.62,1.35,1.30,2.01,2.40,3.02,13.16,9.33,18.82,1.99,1.75,1.74,2.49,1.26,1.09,0.96,0.44,6.00,1.40,5.80,2.00,39.00,6.00,2.00,33.43,2.07,"24,750.00","26,773.08",199.10,0.15,29.25,65.35,24.13,10.00,681.33,"16,913.29",80.27,33.02,88.20,136.91,"1,182.20",824.86,"2,447.22","1,560.94","8,048.91","3,675.00","1,758.00",1.37,Milan
6,0,20.00,62.87,6.00,5.97,2.31,3.25,1.69,1.29,0.94,1.21,1.88,2.30,6.82,5.54,9.98,2.07,1.09,1.71,2.26,0.99,1.03,0.74,1.05,8.00,2.06,13.00,2.50,159.50,4.25,1.70,28.80,1.57,"23,000.00","23,854.25",247.67,0.12,30.52,43.66,11.10,14.00,"1,573.94","18,666.67",67.41,34.91,76.95,96.16,"1,748.36","1,283.56","3,377.59","2,130.95","13,772.23","6,186.57","2,936.85",2.44,London
7,0,12.00,50.00,9.00,3.00,1.76,2.01,1.97,1.31,0.90,1.23,1.22,2.24,11.06,6.18,11.75,1.98,1.59,1.74,1.83,1.19,1.42,1.01,0.75,5.00,1.09,5.00,2.40,40.00,2.75,2.00,22.60,1.60,"22,500.00","23,729.12",178.93,0.16,38.36,39.60,22.85,9.00,504.62,"11,223.00",72.75,30.54,71.00,116.82,965.12,757.38,"1,654.65","1,264.75","4,358.92","2,791.92","1,866.65",1.97,Barcelona
8,0,11.00,60.00,8.64,4.00,1.48,3.15,2.80,2.71,1.04,1.82,1.86,2.72,12.39,7.82,15.98,2.61,1.63,2.03,1.29,1.73,0.90,1.45,0.58,6.00,0.83,7.20,2.75,93.10,3.50,1.90,33.00,2.20,"25,000.00","24,923.75",322.64,0.10,36.83,40.77,20.11,12.00,657.75,"12,225.00",81.63,40.00,84.50,136.43,"1,080.00",865.38,"1,997.47","1,558.33","8,700.00","7,895.84","3,395.57",1.55,Frankfurt
9,0,10.00,40.00,7.00,2.00,1.63,1.50,1.33,1.00,0.66,0.92,0.96,1.69,7.26,4.77,8.06,1.71,1.05,1.24,1.61,0.86,1.07,0.96,0.55,4.00,0.99,5.20,1.50,40.00,3.65,0.47,14.90,2.02,"25,500.00","28,142.22",116.54,0.17,34.17,32.17,12.00,7.00,392.37,"9,611.40",78.64,30.32,75.80,82.67,832.50,648.81,"1,692.21","1,102.77","4,863.06","2,882.36","1,048.60",2.13,Lisbon
